Fecha;Gasolina superior con aditivo;Gasolina superior;Gasolina regular;Diesel;Gas licuado
jun-23;34.93;34.41;33.03;27.53;125
jul-23;35.86;35.35;33.85;28.9;135
ago-23;38.91;38.36;36.84;32.86;135
sep-23;38.67;38.12;36.6;34.46;135
oct-23;37.1;36.61;35.1;34.73;135
nov-23;32.41;32.07;30.56;32.13;135
dic-23;31.09;30.57;29.05;30.31;125
ene-24;32.17;31.59;30.08;30.12;115
feb-24;33.37;32.79;31.29;31.68;115
mar-24;35.53;34.92;33.41;30.97;115
abr-24;36.76;36.21;34.7;30.79;115
may-24;34.92;34.44;32.93;29.2;115
